Artist,Name of Piece,Current Price,Currency,Num of Bids,Time Left,Days/Hours,Sentiment Score,Distance Score,Bid Action
Ellsworth Kelly,Orange/Green,6500.0,USD,1,8,Days,0.4646714285714286,0.13883645113065274,Bid Higher
Petra Cortright,Void Mastery/Bl...,9000.0,USD,0,14,Days,0.453575,0.12774002255922412,Bid Higher
Sol LeWitt,"Arcs, Circles &...",10000.0,USD,0,8,Days,0.3020260869565217,0.023808890484254164,Bid Higher
KAWS,You Should Know...,10000.0,USD,0,8,Days,0.2835605263157895,0.0422744511249864,Bid Higher
Gerhard Richter,Cage (P19-5),12500.0,USD,0,8,Days,0.31652560975609756,0.009309367684678327,Bid Higher
Ellsworth Kelly,Grape Leav...,12500.0,USD,0,8,Days,0.4646714285714286,0.13883645113065274,Bid Higher
RETNA,Eastern Realm (...,12500.0,USD,0,8,Days,0.4228142857142857,0.09697930827350981,Bid Higher
Katherine Bradford,Swimmer and UFOI,12500.0,USD,0,14,Days,0.27699999999999997,0.04883497744077592,Bid Higher
Katherine Bradford,Swim Couple Und...,13500.0,USD,0,14,Days,0.27699999999999997,0.04883497744077592,Bid Higher
John Baldessari,Fox: Maquette f...,13500.0,USD,0,14,Days,0.27674,0.0490949774407759,Bid Higher
Jeff Koons,Diamond (Blue),15000.0,USD,0,8,Days,0.26010613496932516,0.06572884247145072,Bid Higher
Andy Warhol,Fish,15000.0,USD,0,8,Days,0.24895398230088497,0.07688099513989091,Bid Higher
Andy Warhol,Golden Mushroom...,20000.0,USD,0,8,Days,0.24895398230088497,0.07688099513989091,Bid Higher
Josh Smith,Untitled (JS07192),21000.0,USD,0,14,Days,0.4472714285714285,0.1214364511306526,Bid Higher
David Hockney,"‘No. 778’, 17th...",25000.0,USD,0,8,Days,0.26570454545454547,0.060130431986230415,Bid Higher
Tracey Emin,You Hold Onto Me,25000.0,USD,0,8,Days,0.3690375,0.04320252255922413,Bid Higher
Andy Warhol,After the Party,25000.0,USD,2,8,Days,0.24895398230088497,0.07688099513989091,Bid Higher
Banksy,I Fought the Law,26000.0,USD,1,8,Days,0.17231787994891445,0.15351709749186143,Bid Higher
Jeff Koons,Balloon Dog (Blue),30000.0,USD,0,8,Days,0.26010613496932516,0.06572884247145072,Bid Higher
Roy Lichtenstein,I Love Liberty,42000.0,USD,2,8,Days,0.2954883928571429,0.030346584583632985,Bid Higher
Roby Dwi Antono,Hayu,50000.0,USD,0,14,Days,0.32903333333333334,0.0031983558925574584,Bid Higher
Banksy,Soup Can,55000.0,USD,0,8,Days,0.17231787994891445,0.15351709749186143,Bid Higher
Nicolas Party,Untitled,2500.0,USD,0,14,Days,0.8585,0.5326650225592242,Do Not Bid
