Artist,Name of Piece,Current Price,Currency,Num of Bids,Time Left,Days/Hours,Sentiment Score,Distance Score,Bid Action
Sally Mann,Landscape Missi...,16000.0,USD,2,21,Hours,0.0,0.0,Bid Higher
Matthew Brandt,From the series...,17000.0,USD,8,21,Hours,0.0,0.0,Bid Higher
Matthew Brandt,From the series...,17000.0,USD,8,21,Hours,0.0,0.0,Bid Higher
Mario Testino,"Kate Moss, for ...",17500.0,USD,0,22,Hours,0.0,0.0,Bid Higher
David Yarrow,Elephant Uprisi...,20000.0,USD,0,21,Hours,0.0,0.0,Bid Higher
Franco Rubartelli,"Veruschka, Safa...",20000.0,USD,1,21,Hours,0.0,0.0,Bid Higher
David Yarrow,Elephant Uprisi...,20000.0,USD,0,21,Hours,0.0,0.0,Bid Higher
Franco Rubartelli,"Veruschka, Safa...",20000.0,USD,1,21,Hours,0.0,0.0,Bid Higher
Vanessa Beecroft,Rivoli Sister P...,20000.0,USD,0,22,Hours,0.0,0.0,Bid Higher
Nick Brandt,Elephant Exodus...,20000.0,USD,0,22,Hours,0.0,0.0,Bid Higher
Richard Misrach,"November 21, 20...",22000.0,USD,3,21,Hours,0.0,0.0,Bid Higher
Richard Misrach,"November 21, 20...",22000.0,USD,3,21,Hours,0.0,0.0,Bid Higher
Florian Maier-Aichen,Untitled,24000.0,USD,3,21,Hours,0.0,0.0,Bid Higher
Florian Maier-Aichen,Untitled,24000.0,USD,3,21,Hours,0.0,0.0,Bid Higher
David Yarrow,"Hello, Alaska",25000.0,USD,0,22,Hours,0.0,0.0,Bid Higher
David Yarrow,"Hello, Alaska",25000.0,USD,0,22,Hours,0.0,0.0,Bid Higher
Ruud van Empel,World #37,40000.0,USD,0,21,Hours,0.0,0.0,Bid Higher
Ruud van Empel,World #37,40000.0,USD,0,21,Hours,0.0,0.0,Bid Higher
Peter Beard,Elephant with T...,46000.0,USD,4,21,Hours,0.0,0.0,Bid Higher
Peter Beard,Elephant with T...,46000.0,USD,4,21,Hours,0.0,0.0,Bid Higher
